Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR2138604,2016-01-04 17:04:03,2016-11-21 23:34:43,24105868,2168053062,0,89,1346,GCF_000001635.20,https://sra-download.ncbi.nlm.nih.gov/traces/sra16/SRR/002088/SRR2138604,SRX1127668,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP061902,PRJNA291624,2,291624,SRS1021080,SAMN03946737,simple,10090,Mus musculus,GSM1839192,,,,,,,no,,,,,GEO,SRA281408,,public,CB490F09D3647C7883B6B60D8B942E44,79171150B6B66BB2B2CBD66A3273B73A
SRR2138605,2016-01-04 17:04:03,2016-11-22 23:10:18,9853934,886934844,0,90,544,GCF_000001635.20,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002088/SRR2138605,SRX1127669,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP061902,PRJNA291624,2,291624,SRS1021079,SAMN03946738,simple,10090,Mus musculus,GSM1839193,,,,,,,no,,,,,GEO,SRA281408,,public,68453AAE1DE752614489F7A2D56A7EDD,6836BED329376149A32ADF7126CEEAE6
SRR2138606,2016-01-04 17:04:03,2016-11-22 23:14:15,5932879,537474915,0,90,358,GCF_000001635.20,https://sra-download.ncbi.nlm.nih.gov/traces/sra19/SRR/002088/SRR2138606,SRX1127670,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP061902,PRJNA291624,2,291624,SRS1021077,SAMN03946739,simple,10090,Mus musculus,GSM1839194,,,,,,,no,,,,,GEO,SRA281408,,public,07F7A0BDC6795113342C911EF4D046B6,6C4159AD95FD75397F41CC8DB09828AB
SRR2138607,2016-01-04 17:04:03,2016-11-22 23:17:16,22405652,2014831078,0,89,1267,GCF_000001635.20,https://sra-download.ncbi.nlm.nih.gov/traces/sra20/SRR/002088/SRR2138607,SRX1127671,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP061902,PRJNA291624,2,291624,SRS1021081,SAMN03946740,simple,10090,Mus musculus,GSM1839195,,,,,,,no,,,,,GEO,SRA281408,,public,DD5A9E86F268F142251F4D2CB31E6DDB,3C1268CF6CC5CA0F0AB6AEB8E2ECE76A
SRR2138608,2016-01-04 17:04:03,2016-11-22 23:23:58,24404482,2189814874,0,89,1383,GCF_000001635.20,https://sra-download.ncbi.nlm.nih.gov/traces/sra20/SRR/002088/SRR2138608,SRX1127672,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP061902,PRJNA291624,2,291624,SRS1021078,SAMN03946741,simple,10090,Mus musculus,GSM1839196,,,,,,,no,,,,,GEO,SRA281408,,public,1D24B6FAC11F0165039AA1E4B8FC058F,2F9782DA296C53B8CC8D7FB8FFA91BA5
SRR2138609,2016-01-04 17:04:03,2016-11-22 23:33:09,24530895,2191242582,0,89,1397,GCF_000001635.20,https://sra-download.ncbi.nlm.nih.gov/traces/sra37/SRR/002088/SRR2138609,SRX1127673,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP061902,PRJNA291624,2,291624,SRS1021074,SAMN03946742,simple,10090,Mus musculus,GSM1839197,,,,,,,no,,,,,GEO,SRA281408,,public,3F6F375B4ADEB6902C9475547292178A,B0FAC430222DECF6FAD3CCDF1CDE1245
SRR2138610,2016-01-04 17:04:03,2016-11-22 00:05:34,22776539,2050254137,0,90,1305,GCF_000001635.20,https://sra-download.ncbi.nlm.nih.gov/traces/sra33/SRR/002088/SRR2138610,SRX1127674,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP061902,PRJNA291624,2,291624,SRS1021076,SAMN03946743,simple,10090,Mus musculus,GSM1839198,,,,,,,no,,,,,GEO,SRA281408,,public,EF6182EE29148F4045B7E459A5E0C546,3FA3CE692238E4FCC7B5A1A9F36DF340
SRR2138611,2016-01-04 17:04:03,2016-11-21 23:53:42,21279101,1928396742,0,90,1083,GCF_000001635.20,https://sra-download.ncbi.nlm.nih.gov/traces/sra7/SRR/002088/SRR2138611,SRX1127675,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP061902,PRJNA291624,2,291624,SRS1021075,SAMN03946744,simple,10090,Mus musculus,GSM1839199,,,,,,,no,,,,,GEO,SRA281408,,public,A82725B6316E6165CE97A5C7B349D4C7,B2E42DCCC354F23DDBBE1B3D5885B175
SRR2138612,2016-01-04 17:04:03,2016-11-21 23:45:36,9154205,812594896,0,88,502,GCF_000001635.20,https://sra-download.ncbi.nlm.nih.gov/traces/sra38/SRR/002088/SRR2138612,SRX1127676,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP061902,PRJNA291624,2,291624,SRS1021073,SAMN03946745,simple,10090,Mus musculus,GSM1839200,,,,,,,no,,,,,GEO,SRA281408,,public,2ED8B5928AB0746CABB8B9A1747CC578,EAEE3B31EFD9FF5A27772C40796DF105
SRR2138613,2016-01-04 17:04:03,2016-11-22 23:09:59,23359263,2062817156,0,88,1282,GCF_000001635.20,https://sra-download.ncbi.nlm.nih.gov/traces/sra20/SRR/002088/SRR2138613,SRX1127677,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP061902,PRJNA291624,2,291624,SRS1021071,SAMN03946746,simple,10090,Mus musculus,GSM1839201,,,,,,,no,,,,,GEO,SRA281408,,public,971DEB985E9ABB56C5F0C4D41B0C4875,C3D59ACCE7533B81AE8A452C993870F4
