"SRA.Accession","SRP.Accession","Pubmed.ID","Celltype","Tissue...Region","Selection","Biological.Replicate","Other.Notes"
"SRR1033783","SRP033200","25186741","Astrocytes","Cerebral Cortex","Aldh1l1-BAC::EGFP","1","Barres dataset"
"SRR1033784","SRP033200","25186741","Astrocytes","Cerebral Cortex","Aldh1l1-BAC::EGFP","2","Barres dataset"
"SRR1033785","SRP033200","25186741","Neurons","Cerebral Cortex","Negative selection (anti-O4 and anti-CD45) followed by LICAM positive selection","1","Barres dataset"
"SRR1033786","SRP033200","25186741","Neurons","Cerebral Cortex","Negative selection (anti-O4 and anti-CD45) followed by LICAM positive selection","2","Barres dataset"
"SRR1033787","SRP033200","25186741","Oligodendrocyte Precursor Cells","Cerebral Cortex","Negative selection with anti-CD45 and anti-PDGFR_ ","1","Barres dataset"
"SRR1033788","SRP033200","25186741","Oligodendrocyte Precursor Cells","Cerebral Cortex","Negative selection with anti-CD45 and anti-PDGFR_ ","2","Barres dataset"
"SRR1033789","SRP033200","25186741","Newly Formed Oligodendrocytes","Cerebral Cortex","Negative selection with anti-CD45, anti-PDGFR_; positive selection with anti-GalC","1","Barres dataset"
"SRR1033790","SRP033200","25186741","Newly Formed Oligodendrocytes","Cerebral Cortex","Negative selection with anti-CD45, anti-PDGFR_; positive selection with anti-GalC","2","Barres dataset"
"SRR1033791","SRP033200","25186741","Myelinating Oligodendrocytes","Cerebral Cortex","Negative selection with anti-CD45, anti-PDGFR_; positive selection with anti-MOG","1","Barres dataset"
"SRR1033792","SRP033200","25186741","Myelinating Oligodendrocytes","Cerebral Cortex","Negative selection with anti-CD45, anti-PDGFR_; positive selection with anti-MOG","2","Barres dataset"
"SRR1033793","SRP033200","25186741","Microglia","Cerebral Cortex","Negative selection of macrophages (perfusion) followed by anti-CD45","1","Barres dataset"
"SRR1033794","SRP033200","25186741","Microglia","Cerebral Cortex","Negative selection of macrophages (perfusion) followed by anti-CD45","2","Barres dataset"
"SRR1033795","SRP033200","25186741","Endothelial Cells","Cerebral Cortex","Tie2::GFP","1","Barres dataset"
"SRR1033796","SRP033200","25186741","Endothelial Cells","Cerebral Cortex","Tie2::GFP","2","Barres dataset"
"SRR1033797","SRP033200","25186741","Mixed","Whole Cortex","None","1","Barres dataset"
"SRR1033798","SRP033200","25186741","Mixed","Whole Cortex","None","2","Barres dataset"
"SRR1033799","SRP033200","25186741","Mixed","Whole Cortex","None","3","Barres dataset"
"SRR5001020","SRP092781","n/a","Embryonic Motor Neurons","Embryo (E13.5)","Hb9::GFP; E13.5","1",""
"SRR5001021","SRP092781","n/a","Embryonic Motor Neurons","Embryo (E13.5)","Hb9::GFP; E13.5","2",""
"SRR2971427","SRP066961","26680198","Embryonic Motor Neurons","Embryo (E12.5)","Hb9::GFP; E12.5","1",""
"SRR2971430","SRP066961","26680198","Embryonic Motor Neurons","Embryo (E12.5)","Hb9::GFP; E12.5","2",""
"SRR2971431","SRP066961","26680198","Embryonic Motor Neurons","Embryo (E12.5)","Hb9::GFP; E12.5","3",""
"SRR2971432","SRP066961","26680198","Embryonic Motor Neurons","Embryo (E12.5)","Hb9::GFP; E12.5","4",""
"SRR2971433","SRP066961","26680198","Floor Plate Glial Cells","Embryo (E12.5)","Negative selection (unsorted), E12.5","1",""
"ERR873293","ERP009139","pre-publication release","Olfactory Sensory Neurons","n/a","Omp-GFP cells, multiplexed Nextera XT library from populations of 10K","1A","The Wellcome Trust Sanger Institute"
"ERR873294","ERP009139","pre-publication release","Olfactory Sensory Neurons","n/a","Omp-GFP cells, multiplexed Nextera XT library from populations of 10K","1B","The Wellcome Trust Sanger Institute"
"ERR873295","ERP009139","pre-publication release","Olfactory Sensory Neurons","n/a","Omp-GFP cells, multiplexed Nextera XT library from populations of 10K","2A","The Wellcome Trust Sanger Institute"
"ERR873296","ERP009139","pre-publication release","Olfactory Sensory Neurons","n/a","Omp-GFP cells, multiplexed Nextera XT library from populations of 10K","2B","The Wellcome Trust Sanger Institute"
"ERR873297","ERP009139","pre-publication release","Olfactory Sensory Neurons","n/a","Omp-GFP cells, multiplexed Nextera XT library from populations of 10K","3A","The Wellcome Trust Sanger Institute"
"ERR873298","ERP009139","pre-publication release","Olfactory Sensory Neurons","n/a","Omp-GFP cells, multiplexed Nextera XT library from populations of 10K","3B","The Wellcome Trust Sanger Institute"
"ERR873299","ERP009139","pre-publication release","Olfactory Sensory Neurons","n/a","Omp-GFP cells, multiplexed Nextera XT library from populations of 10K","1A (type 2?)",""
"ERR873300","ERP009139","pre-publication release","Olfactory Sensory Neurons","n/a","Omp-GFP cells, multiplexed Nextera XT library from populations of 10K","1B (type 2?)",""
"ERR873301","ERP009139","pre-publication release","Olfactory Sensory Neurons","n/a","Omp-GFP cells, multiplexed Nextera XT library from populations of 10K","2A (type 2?)",""
"ERR873302","ERP009139","pre-publication release","Olfactory Sensory Neurons","n/a","Omp-GFP cells, multiplexed Nextera XT library from populations of 10K","2B (type 2?)",""
"ERR873303","ERP009139","pre-publication release","Olfactory Sensory Neurons","n/a","Omp-GFP cells, multiplexed Nextera XT library from populations of 10K","3A (type 2?)",""
"ERR873304","ERP009139","pre-publication release","Olfactory Sensory Neurons","n/a","Omp-GFP cells, multiplexed Nextera XT library from populations of 10K","3B (type 2?)",""
"SRR1068222","SRP034891","25590618","Olfactory Epithelium","Olfactory Epithelium (4wk)","Negative selection","1",""
"SRR1068225","SRP034891","25590618","Olfactory Sensory Neurons","Olfactory Epithelium (4wk)","Omp-GFP","1",""
"SRR1782642","SRP053008","27504473","Proliferating Neuronal Progenitors","Embryo, Lateral Cortex (E14.5)","Btg2::RFP- and Tubb3::GFP-","1",""
"SRR1782643","SRP053008","27504473","Proliferating Neuronal Progenitors","Embryo, Lateral Cortex (E14.5)","Btg2::RFP- and Tubb3::GFP-","2",""
"SRR1782651","SRP053008","27504473","Proliferating Neuronal Progenitors","Embryo, Lateral Cortex (E14.5)","Btg2::RFP- and Tubb3::GFP-","3",""
"SRR1782652","SRP053008","27504473","Proliferating Neuronal Progenitors","Embryo, Lateral Cortex (E14.5)","Btg2::RFP- and Tubb3::GFP-","4",""
"SRR1782660","SRP053008","27504473","Proliferating Neuronal Progenitors","Embryo, Lateral Cortex (E14.5)","Btg2::RFP- and Tubb3::GFP-","5",""
"SRR1782661","SRP053008","27504473","Proliferating Neuronal Progenitors","Embryo, Lateral Cortex (E14.5)","Btg2::RFP- and Tubb3::GFP-","6",""
"SRR1782645","SRP053008","27504473","Differentiating Neuronal Progenitors","Embryo, Lateral Cortex (E14.5)","Btg2::RFP+ and Tubb3::GFP-","1",""
"SRR1782646","SRP053008","27504473","Differentiating Neuronal Progenitors","Embryo, Lateral Cortex (E14.5)","Btg2::RFP+ and Tubb3::GFP-","2",""
"SRR1782654","SRP053008","27504473","Differentiating Neuronal Progenitors","Embryo, Lateral Cortex (E14.5)","Btg2::RFP+ and Tubb3::GFP-","3",""
"SRR1782655","SRP053008","27504473","Differentiating Neuronal Progenitors","Embryo, Lateral Cortex (E14.5)","Btg2::RFP+ and Tubb3::GFP-","4",""
"SRR1782663","SRP053008","27504473","Differentiating Neuronal Progenitors","Embryo, Lateral Cortex (E14.5)","Btg2::RFP+ and Tubb3::GFP-","5",""
"SRR1782664","SRP053008","27504473","Differentiating Neuronal Progenitors","Embryo, Lateral Cortex (E14.5)","Btg2::RFP+ and Tubb3::GFP-","6",""
