sra:SRR1033783	SRP033200-SRR1033783
sra:SRR1033784	SRP033200-SRR1033784
sra:SRR1033785	SRP033200-SRR1033785
sra:SRR1033786	SRP033200-SRR1033786
sra:SRR1033787	SRP033200-SRR1033787
sra:SRR1033788	SRP033200-SRR1033788
sra:SRR1033789	SRP033200-SRR1033789
sra:SRR1033790	SRP033200-SRR1033790
sra:SRR1033791	SRP033200-SRR1033791
sra:SRR1033792	SRP033200-SRR1033792
sra:SRR1033793	SRP033200-SRR1033793
sra:SRR1033794	SRP033200-SRR1033794
sra:SRR1033795	SRP033200-SRR1033795
sra:SRR1033796	SRP033200-SRR1033796
sra:SRR1033797	SRP033200-SRR1033797
sra:SRR1033798	SRP033200-SRR1033798
sra:SRR1033799	SRP033200-SRR1033799
sra:SRR5001020	SRP092781-SRR5001020
sra:SRR5001021	SRP092781-SRR5001021
sra:SRR2971427	SRP066961-SRR2971427
sra:SRR2971430	SRP066961-SRR2971430
sra:SRR2971431	SRP066961-SRR2971431
sra:SRR2971432	SRP066961-SRR2971432
sra:SRR2971433	SRP066961-SRR2971433
sra:ERR873293	ERP009139-ERR873293
sra:ERR873294	ERP009139-ERR873294
sra:ERR873295	ERP009139-ERR873295
sra:ERR873296	ERP009139-ERR873296
sra:ERR873297	ERP009139-ERR873297
sra:ERR873298	ERP009139-ERR873298
sra:ERR873299	ERP009139-ERR873299
sra:ERR873300	ERP009139-ERR873300
sra:ERR873301	ERP009139-ERR873301
sra:ERR873302	ERP009139-ERR873302
sra:ERR873303	ERP009139-ERR873303
sra:ERR873304	ERP009139-ERR873304
sra:SRR1068222	SRP034891-SRR1068222
sra:SRR1068225	SRP034891-SRR1068225
sra:SRR1782642	SRP053008-SRR1782642
sra:SRR1782643	SRP053008-SRR1782643
sra:SRR1782651	SRP053008-SRR1782651
sra:SRR1782652	SRP053008-SRR1782652
sra:SRR1782660	SRP053008-SRR1782660
sra:SRR1782661	SRP053008-SRR1782661
sra:SRR1782645	SRP053008-SRR1782645
sra:SRR1782646	SRP053008-SRR1782646
sra:SRR1782654	SRP053008-SRR1782654
sra:SRR1782655	SRP053008-SRR1782655
sra:SRR1782663	SRP053008-SRR1782663
sra:SRR1782664	SRP053008-SRR1782664
sra:SRR1782648	SRP053008-SRR1782648
sra:SRR1782649	SRP053008-SRR1782649
sra:SRR1782657	SRP053008-SRR1782657
sra:SRR1782658	SRP053008-SRR1782658
sra:SRR1782666	SRP053008-SRR1782666
sra:SRR1782667	SRP053008-SRR1782667
sra:SRR3212810	SRP071321-SRR3212810
sra:SRR3212811	SRP071321-SRR3212811
sra:SRR3212812	SRP071321-SRR3212812
sra:SRR3212813	SRP071321-SRR3212813
sra:SRR3212816	SRP071321-SRR3212816
sra:SRR3212817	SRP071321-SRR3212817
sra:SRR3212818	SRP071321-SRR3212818
sra:SRR3212819	SRP071321-SRR3212819
sra:SRR3212820	SRP071321-SRR3212820
sra:SRR3212821	SRP071321-SRR3212821
sra:SRR3212804	SRP071321-SRR3212804
sra:SRR3212805	SRP071321-SRR3212805
sra:SRR3212806	SRP071321-SRR3212806
sra:SRR3212807	SRP071321-SRR3212807
sra:SRR3212808	SRP071321-SRR3212808
sra:SRR3212809	SRP071321-SRR3212809
sra:SRR3212814	SRP071321-SRR3212814
sra:SRR3212815	SRP071321-SRR3212815
sra:SRR579545	SRP015997-SRR579545
sra:SRR579546	SRP015997-SRR579546
sra:SRR579547	SRP015997-SRR579547
sra:SRR579548	SRP015997-SRR579548
sra:SRR579549	SRP015997-SRR579549
sra:SRR579550	SRP015997-SRR579550
sra:SRR594393	SRP016501-SRR594393
sra:SRR594394	SRP016501-SRR594394
sra:SRR594396	SRP016501-SRR594396
sra:SRR594397	SRP016501-SRR594397
sra:SRR594399	SRP016501-SRR594399
sra:SRR594400	SRP016501-SRR594400
sra:SRR594401	SRP016501-SRR594401
sra:SRR594402	SRP016501-SRR594402
sra:SRR594403	SRP016501-SRR594403
sra:SRR594404	SRP016501-SRR594404
sra:SRR594405	SRP016501-SRR594405
sra:SRR594406	SRP016501-SRR594406
sra:SRR594407	SRP016501-SRR594407
sra:SRR594408	SRP016501-SRR594408
sra:SRR594409	SRP016501-SRR594409
sra:SRR5026253	SRP096044-SRR5026253
sra:SRR5026254	SRP096044-SRR5026254
sra:SRR5026255	SRP096044-SRR5026255
sra:SRR5026259	SRP096044-SRR5026259
sra:SRR5026260	SRP096044-SRR5026260
sra:SRR5026261	SRP096044-SRR5026261
sra:SRR2229920	SRP056666-SRR2229920
sra:SRR2229921	SRP056666-SRR2229921
sra:SRR2229922	SRP056666-SRR2229922
sra:SRR2229923	SRP056666-SRR2229923
sra:SRR2229924	SRP056666-SRR2229924
sra:SRR2229925	SRP056666-SRR2229925
sra:SRR2229926	SRP056666-SRR2229926
sra:SRR2229927	SRP056666-SRR2229927
sra:SRR2229928	SRP056666-SRR2229928
sra:SRR2229913	SRP056666-SRR2229913
sra:SRR2229912	SRP056666-SRR2229912
sra:SRR2229911	SRP056666-SRR2229911
sra:SRR2229932	SRP056666-SRR2229932
sra:SRR2229933	SRP056666-SRR2229933
sra:SRR2229934	SRP056666-SRR2229934
sra:SRR2229935	SRP056666-SRR2229935
sra:SRR2229936	SRP056666-SRR2229936
sra:SRR2229937	SRP056666-SRR2229937
sra:SRR2229938	SRP056666-SRR2229938
sra:SRR2229939	SRP056666-SRR2229939
sra:SRR2229940	SRP056666-SRR2229940
sra:SRR2229941	SRP056666-SRR2229941
sra:SRR2229942	SRP056666-SRR2229942
sra:SRR2229943	SRP056666-SRR2229943
sra:SRR2229944	SRP056666-SRR2229944
sra:SRR2229945	SRP056666-SRR2229945
sra:SRR2229946	SRP056666-SRR2229946
sra:SRR2229947	SRP056666-SRR2229947
sra:SRR2229948	SRP056666-SRR2229948
sra:SRR2229949	SRP056666-SRR2229949
sra:SRR2229916	SRP056666-SRR2229916
sra:SRR2229915	SRP056666-SRR2229915
sra:SRR2229914	SRP056666-SRR2229914
sra:SRR2229919	SRP056666-SRR2229919
sra:SRR2229918	SRP056666-SRR2229918
sra:SRR2229917	SRP056666-SRR2229917
sra:SRR2229950	SRP056666-SRR2229950
sra:SRR2229951	SRP056666-SRR2229951
sra:SRR2229952	SRP056666-SRR2229952
sra:SRR2229953	SRP056666-SRR2229953
sra:SRR2229954	SRP056666-SRR2229954
sra:SRR2229955	SRP056666-SRR2229955
sra:SRR2229956	SRP056666-SRR2229956
sra:SRR2229957	SRP056666-SRR2229957
sra:SRR2229958	SRP056666-SRR2229958
sra:SRR2229929	SRP056666-SRR2229929
sra:SRR2229930	SRP056666-SRR2229930
sra:SRR2229931	SRP056666-SRR2229931
sra:SRR2120292	SRP061355-SRR2120292
sra:SRR2120293	SRP061355-SRR2120293
sra:SRR2120294	SRP061355-SRR2120294
sra:SRR2120295	SRP061355-SRR2120295
sra:SRR2120296	SRP061355-SRR2120296
sra:SRR2120297	SRP061355-SRR2120297
sra:SRR2120298	SRP061355-SRR2120298
sra:SRR2120299	SRP061355-SRR2120299
sra:SRR2120300	SRP061355-SRR2120300
sra:SRR2120301	SRP061355-SRR2120301
sra:SRR2120302	SRP061355-SRR2120302
sra:SRR2120303	SRP061355-SRR2120303
sra:SRR2120304	SRP061355-SRR2120304
sra:SRR2120305	SRP061355-SRR2120305
sra:SRR2120306	SRP061355-SRR2120306
sra:SRR2120307	SRP061355-SRR2120307
sra:SRR1810037	SRP055125-SRR1810037
sra:SRR1810038	SRP055125-SRR1810038
sra:SRR1810039	SRP055125-SRR1810039
sra:SRR1810040	SRP055125-SRR1810040
sra:SRR1810041	SRP055125-SRR1810041
sra:SRR1810042	SRP055125-SRR1810042
sra:SRR3032185	SRP067565-SRR3032185
